ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
56,Wyoming,WY,56025,Natrona County,56025000502,Census Tract 5.02; Natrona County; Wyoming,0.726450140796,2912,476,1272,176,1222,186,1159,441,75,89,558,215,86,53,226,173,370,117,877,314,485,183,277,178,0,52,732,672,345,195,73,46,0,18,115,106,7,2,39.8,13.7,4.9,5.6,45.7,16.2,5.4,3.5,7.8,5.6,12.7,4.3,30.1,7.2,16.7,6.1,22.6,14.2,0.0,2.0,25.1,22.7,27.1,14.9,5.7,3.7,0.0,1.5,9.4,8.4,0.2,0.1,0.9684,0.6582,0.9873,0.4937,0.2848,3.3924,0.8101,0.2215,0.9241,0.7215,1.0,0.0,2.8671,0.7278,0.8101,0.8101,0.8101,0.9747,0.3987,0.0,0.9367,0.4114,2.7215,0.6266,9.7911,0.8354,1,0,1,0,0,2,0,1,0,1,0,2,0,0,1,0,0,1,0,2,6,4883,164,82,111,113,347,221,0,13,0,13,0,13,274,192,0,13,13.4,6.6,3.8,3.9,11.9,7.7,0.0,1.3,0.0,1.3,0.0,1.3,9.4,6.4,0.0,1.3
56,Wyoming,WY,56025,Natrona County,56025000601,Census Tract 6.01; Natrona County; Wyoming,1.618951168732,2864,558,1181,155,1033,170,215,116,52,90,259,132,43,52,194,132,259,147,906,301,259,119,101,65,0,52,722,818,0,18,0,13,0,18,0,13,1,3,7.5,3.8,3.2,5.7,25.1,12.1,3.1,3.8,6.8,5.1,9.0,5.6,31.6,6.5,9.0,4.3,9.8,6.1,0.0,2.1,25.2,28.1,0.0,1.5,0.0,3.1,0.0,1.7,0.0,3.6,0.0,0.1,0.1139,0.4684,0.7152,0.1962,0.1835,1.6772,0.2025,0.0886,0.9684,0.1329,0.8924,0.0,2.0823,0.3481,0.8165,0.8165,0.8165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.576,0.0633,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1250,96,93,0,13,347,231,39,49,336,171,0,13,0,13,0,13,9.3,8.8,0.0,1.3,12.1,8.0,1.4,1.8,11.7,6.9,0.0,1.3,0.0,1.3,0.0,1.3
56,Wyoming,WY,56025,Natrona County,56025000602,Census Tract 6.02; Natrona County; Wyoming,2.205728911028,5110,856,2194,254,2040,302,576,285,81,116,383,185,266,182,871,329,552,172,1130,330,722,369,288,249,0,72,700,1200,52,83,40,63,0,25,104,92,0,18,11.3,5.3,2.7,3.9,18.8,8.6,7.3,4.8,17.0,5.7,10.8,3.7,22.1,4.6,14.1,6.3,14.1,12.0,0.0,1.5,13.7,23.4,2.4,3.8,1.8,2.9,0.0,1.2,5.1,4.6,0.0,0.4,0.2089,0.3987,0.3987,0.6962,0.8354,2.5379,0.538,0.1392,0.443,0.5063,0.9747,0.0,2.0632,0.3418,0.4494,0.4494,0.4494,0.4747,0.1962,0.0,0.7342,0.0,1.4051,0.1456,6.4556,0.2722,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2049,200,132,0,18,504,287,32,51,43,39,0,18,116,116,5,11,9.8,6.6,0.0,0.7,9.9,5.5,0.6,1.0,0.8,0.8,0.0,0.7,2.3,2.3,0.1,0.2
56,Wyoming,WY,56025,Natrona County,56025000700,Census Tract 7; Natrona County; Wyoming,0.617468990276,2330,286,1366,186,1178,175,299,111,50,59,307,125,79,56,260,125,525,117,369,96,442,131,39,32,0,52,319,417,0,18,39,57,0,18,16,19,3,6,12.8,4.5,3.7,4.1,26.1,9.9,4.4,3.1,11.2,5.3,22.5,5.6,15.8,4.1,19.0,5.9,3.3,2.7,0.0,2.4,13.7,17.8,0.0,1.3,2.9,4.2,0.0,1.5,1.4,1.6,0.1,0.3,0.2595,0.519,0.7468,0.3608,0.5506,2.4367,0.4873,0.7405,0.1519,0.8797,0.3861,0.0,2.1582,0.3924,0.4494,0.4494,0.4494,0.0,0.2532,0.0,0.2342,0.2532,0.7406,0.0316,5.7849,0.1835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4301,99,61,0,13,114,124,0,13,0,13,0,13,205,132,0,13,8.4,5.3,0.0,1.6,4.9,5.5,0.0,1.6,0.0,1.6,0.0,1.6,8.8,5.5,0.0,1.6
56,Wyoming,WY,56025,Natrona County,56025000800,Census Tract 8; Natrona County; Wyoming,1.4691489981599999,3537,485,1756,152,1671,162,669,273,110,87,465,156,137,70,334,205,587,121,968,263,448,144,268,142,12,53,459,705,52,33,53,85,11,15,91,87,0,13,19.0,7.3,6.3,4.7,27.8,8.9,6.0,3.1,9.4,5.5,16.6,4.0,27.4,4.7,12.7,4.3,16.0,8.4,0.4,1.6,13.0,19.9,3.0,1.9,3.0,4.7,0.6,0.9,5.4,5.2,0.0,0.4,0.6013,0.8354,0.7848,0.5633,0.3987,3.1835,0.7532,0.443,0.8038,0.3924,0.981,0.6266,3.2468,0.8861,0.4114,0.4114,0.4114,0.5,0.2658,0.3671,0.7595,0.0,1.8924,0.2975,8.7341,0.6962,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2943,170,86,4,8,228,176,0,13,0,13,0,13,227,115,0,13,10.2,5.0,0.1,0.2,6.4,5.0,0.0,1.1,0.0,1.1,0.0,1.1,6.4,3.4,0.0,1.1
56,Wyoming,WY,56025,Natrona County,56025000901,Census Tract 9.01; Natrona County; Wyoming,2.15935072489,5418,631,2237,203,2092,211,1427,543,43,51,613,189,179,93,717,295,911,248,1580,361,658,215,205,133,0,72,684,967,355,152,19,33,21,37,192,114,1,3,26.3,9.5,1.7,2.0,29.3,8.5,5.1,2.6,13.2,5.3,16.8,4.7,29.2,4.7,12.2,3.6,9.8,6.3,0.0,1.5,12.6,17.8,15.9,6.6,0.8,1.5,1.0,1.8,9.2,5.2,0.0,0.1,0.8165,0.2405,0.8228,0.443,0.6582,2.981,0.6899,0.462,0.8987,0.3481,0.8924,0.0,2.6012,0.6013,0.3797,0.3797,0.3797,0.9241,0.1646,0.462,0.9241,0.0,2.4748,0.519,8.4367,0.6203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,4876,176,110,25,42,446,277,0,18,0,18,0,18,91,98,122,185,8.4,5.0,0.5,0.8,8.2,5.2,0.0,0.7,0.0,0.7,0.0,0.7,1.7,1.8,2.3,3.4
56,Wyoming,WY,56025,Natrona County,56025000902,Census Tract 9.02; Natrona County; Wyoming,1.464572145052,3980,445,1609,172,1501,188,484,262,32,30,232,130,96,62,371,171,881,126,783,239,355,106,177,139,0,52,625,565,359,161,9,15,19,31,55,62,561,20,14.3,7.5,1.6,1.5,15.5,8.4,3.6,2.3,9.8,4.2,22.1,3.5,19.7,4.2,9.3,2.9,11.8,9.1,0.0,1.4,15.7,14.1,22.3,9.7,0.6,0.9,1.3,2.1,3.7,4.1,14.1,1.7,0.3291,0.2215,0.2215,0.2658,0.4747,1.5126,0.1582,0.7342,0.3101,0.1582,0.9557,0.0,2.1582,0.3924,0.5316,0.5316,0.5316,0.962,0.1203,0.5253,0.5633,0.9684,3.1393,0.8354,7.3417,0.4177,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,2,3,4118,124,69,20,20,399,227,0,13,10,10,0,13,196,177,0,13,8.3,4.5,0.5,0.5,10.0,5.1,0.0,0.9,0.3,0.3,0.0,0.9,4.9,4.4,0.0,0.9
56,Wyoming,WY,56025,Natrona County,56025001000,Census Tract 10; Natrona County; Wyoming,1.965174623662,4720,711,1891,196,1709,198,498,227,150,100,373,139,232,156,390,190,738,142,1208,327,534,160,80,54,114,118,416,1011,87,68,169,86,12,23,0,13,191,131,11.0,4.7,6.1,4.0,21.8,7.7,7.0,4.5,8.6,4.1,15.6,2.8,25.6,4.0,11.8,3.2,4.7,3.1,2.7,2.7,8.8,21.4,4.6,3.6,8.9,4.6,0.7,1.3,0.0,2.2,4.0,2.7,0.1962,0.8101,0.5949,0.6772,0.3354,2.6138,0.5443,0.3861,0.7025,0.3354,0.5759,0.9177,2.9176,0.7658,0.1709,0.1709,0.1709,0.6392,0.5,0.3797,0.0,0.8354,2.3543,0.4684,8.0566,0.5506,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2477,113,64,0,13,314,192,8,12,15,27,0,13,79,71,0,13,6.6,3.7,0.0,0.8,6.7,4.0,0.2,0.3,0.3,0.6,0.0,0.8,1.7,1.6,0.0,0.8
56,Wyoming,WY,56025,Natrona County,56025001100,Census Tract 11; Natrona County; Wyoming,3.1741862410159998,2835,258,1440,134,1281,128,414,161,114,71,209,96,144,82,346,172,505,173,636,136,725,238,147,115,0,52,466,376,0,18,402,152,0,18,11,16,4,11,14.7,5.5,8.2,4.8,16.3,7.3,6.7,3.6,12.2,6.0,17.8,6.2,22.4,3.9,25.6,8.0,11.5,8.9,0.0,1.9,16.4,13.2,0.0,1.3,27.9,9.5,0.0,1.4,0.9,1.3,0.1,0.4,0.3671,0.9114,0.2658,0.6456,0.6076,2.7975,0.6076,0.5316,0.4747,0.981,0.9494,0.0,2.9367,0.7848,0.557,0.557,0.557,0.0,0.8671,0.0,0.1646,0.2532,1.2849,0.1203,7.5761,0.443,0,1,0,0,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,3,2282,280,104,0,13,391,213,0,13,0,13,0,13,40,57,35,43,21.9,7.7,0.0,1.3,13.8,7.2,0.0,1.3,0.0,1.3,0.0,1.3,1.4,2.0,1.2,1.5
56,Wyoming,WY,56025,Natrona County,56025001200,Census Tract 12; Natrona County; Wyoming,4.99307878604,2280,311,873,104,775,100,624,297,13,13,230,102,309,151,599,217,255,58,517,138,448,127,29,43,90,101,582,467,0,18,459,100,69,44,48,43,150,17,29.8,13.5,1.3,1.2,29.7,12.6,19.6,8.2,28.2,9.7,11.2,2.6,22.7,4.7,21.1,5.3,3.7,5.5,4.2,4.6,25.5,20.2,0.0,2.1,52.6,9.5,8.9,5.6,6.2,5.3,6.6,1.2,0.8797,0.1962,0.8418,0.9937,0.962,3.8734,0.9114,0.1519,0.4937,0.9177,0.4873,0.9684,3.019,0.8165,0.8228,0.8228,0.8228,0.0,0.9937,1.0,0.8228,0.9051,3.7216,0.9557,11.4368,0.981,0,0,0,1,1,2,0,0,1,0,1,2,0,0,0,1,1,0,1,3,7,6578,225,70,51,64,342,194,0,13,9,9,0,13,170,159,10,18,29.0,8.1,2.2,2.8,15.0,8.3,0.0,1.6,0.4,0.4,0.0,1.6,7.5,6.6,0.4,0.8
